Date,Visitor,Home,Time,Location,Week
11/28/2025,Chicago,@ Philadelphia,12:00 PM,"Lincoln Financial Field, Philadelphia, PA",13
11/30/2025,San Francisco,@ Cleveland,10:00 AM,"Huntington Bank Field, Cleveland, OH",13
11/30/2025,Jacksonville,@ Tennessee,10:00 AM,"Nissan Stadium, Nashville, TN",13
11/30/2025,Houston,@ Indianapolis,10:00 AM,"Lucas Oil Stadium, Indianapolis, IN",13
11/30/2025,New Orleans,@ Miami,10:00 AM,"Hard Rock Stadium, Miami Gardens, FL",13
11/30/2025,Atlanta,@ New York2,10:00 AM,"MetLife Stadium, East Rutherford, NJ",13
11/30/2025,Arizona,@ Tampa Bay,10:00 AM,"Raymond James Stadium, Tampa, FL",13
11/30/2025,Los Angeles2,@ Carolina,10:00 AM,"Bank of America Stadium, Charlotte, NC",13
11/30/2025,Minnesota,@ Seattle,1:05 PM,"Lumen Field, Seattle, WA",13
11/30/2025,Buffalo,@ Pittsburgh,1:25 PM,"Acrisure Stadium, Pittsburgh, PA",13
11/30/2025,Las Vegas,@ Los Angeles1,1:25 PM,"SoFi Stadium, Inglewood, CA",13
11/30/2025,Denver,@ Washington,5:20 PM,"Northwest Stadium, Landover, MD",13
12/1/2025,New York1,@ New England,5:15 PM,"Gillette Stadium, Foxborough, MA",13
12/4/2025,Dallas,@ Detroit,5:15 PM,"Ford Field, Detroit, MI",14
12/7/2025,Seattle,@ Atlanta,10:00 AM,"Mercedes-Benz Stadium, Atlanta, GA",14
12/7/2025,Tennessee,@ Cleveland,10:00 AM,"Huntington Bank Field, Cleveland, OH",14
12/7/2025,Chicago,@ Green Bay,10:00 AM,"Lambeau Field, Green Bay, WI",14
12/7/2025,Washington,@ Minnesota,10:00 AM,"U.S. Bank Stadium, Minneapolis, MN",14
12/7/2025,Miami,@ New York2,10:00 AM,"MetLife Stadium, East Rutherford, NJ",14
12/7/2025,New Orleans,@ Tampa Bay,10:00 AM,"Raymond James Stadium, Tampa, FL",14
12/7/2025,Indianapolis,@ Jacksonville,10:00 AM,"EverBank Stadium, Jacksonville, FL",14
12/7/2025,Pittsburgh,@ Baltimore,10:00 AM,"M&T Bank Stadium, Baltimore, MD",14
12/7/2025,Denver,@ Las Vegas,1:05 PM,"Allegiant Stadium, Las Vegas, NV",14
