,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,Date,Visitor,Visitor_score,Home,Home_score,OTFlag,Box Score,total_actual,spread_actual,Home_win,Visitor_win,Total_win,Spread_win
79,6,MIA,LAC,47.6,-3.1,3.1,o47.6,u47.6,401772750,-5.5,-3.5,o43.5,-200.0,u45.5,3.5,u43.5,170.0,Mininmal Edge,Home,0.3999999999999999,4.100000000000001,0.0,0.0,10/12/2025,LAC,29,MIA,27,,Box Score,56,2,False,True,0,0
80,6,WAS,CHI,45.4,-3.8,3.8,o45.4,u45.4,401772717,o49.5,4.5,o49.5,190.0,-4.5,-4.5,u49.5,-225.0,Mininmal Edge,Mininmal Edge,0.7000000000000002,4.100000000000001,0.0,0.0,10/13/2025,CHI,25,WAS,24,,Box Score,49,1,False,True,0,0
81,6,ATL,BUF,46.8,8.3,-8.3,o46.8,u46.8,401772815,-4.5,-4.5,o49.5,-215.0,u49.5,4.5,u49.5,180.0,Mininmal Edge,Mininmal Edge,3.8000000000000007,2.700000000000003,0.0,0.0,10/13/2025,BUF,14,ATL,24,,Box Score,38,10,True,False,0,0
82,6,KC,DET,45.3,0.9,-0.9,o45.3,u45.3,401772923,o48.5,2.5,o52.5,115.0,-1.5,-2.5,u52.5,-135.0,Under,Mininmal Edge,1.6,7.200000000000003,0.0,3.0,10/12/2025,DET,17,KC,30,,Box Score,47,13,True,False,1,0
83,6,GB,CIN,44.1,-7.6,7.6,o44.1,u44.1,401772752,o43.5,14.5,o44.5,800.0,-14.5,-14.5,u44.5,-1600.0,Mininmal Edge,Away,6.9,0.3999999999999986,1.0,0.0,10/12/2025,CIN,18,GB,27,,Box Score,45,9,True,False,0,1
84,6,LV,TEN,46.4,-4.7,4.7,o46.4,u46.4,401772859,o41.5,3.5,o40.5,195.0,-5.5,-3.5,u40.5,-230.0,Over,Mininmal Edge,1.2000000000000002,5.899999999999999,0.0,0.0,10/12/2025,TEN,10,LV,20,,Box Score,30,10,True,False,0,0
85,6,BAL,LA,46.9,-9.1,9.1,o46.9,u46.9,401772855,-7.5,-7.5,o45.5,-400.0,u44.5,7.5,u45.5,300.0,Mininmal Edge,Home,1.5999999999999996,1.3999999999999986,0.0,0.0,10/12/2025,LA,17,BAL,3,,Box Score,20,14,False,True,0,1
86,6,JAX,SEA,45.3,0.8,-0.8,o45.3,u45.3,401772857,o44.5,-1.5,o46.5,-110.0,-1.5,1.5,u46.5,-110.0,Mininmal Edge,Mininmal Edge,0.7,1.2000000000000028,0.0,0.0,10/12/2025,SEA,20,JAX,12,,Box Score,32,8,False,True,0,0
87,6,CAR,DAL,43.3,8.6,-8.6,o43.3,u43.3,401772858,-3.5,-3.5,o50.5,-175.0,u48.5,3.5,u50.5,150.0,Under,Away,5.1,7.200000000000003,2.0,2.0,10/12/2025,DAL,27,CAR,30,,Box Score,57,3,True,False,0,0
88,6,NYJ,DEN,43.5,5.2,-5.2,o43.5,u43.5,401772634,-7.5,-7.5,o43.5,-400.0,u43.5,7.5,u43.5,300.0,Mininmal Edge,Mininmal Edge,2.3,0.0,0.0,0.0,10/12/2025,DEN,13,NYJ,11,,Box Score,24,2,False,True,0,0
